;caption;rating
219;preise zügig döner gestiegen woanders essen bekommen;4.0
220;stern abzug preis ansonsten bester dönerladen;4.0
221;bester döner geschmack überflüssiger krimskrams atmosphäre nette leute;5.0
223;beste döner korrekten preis;5.0
224;döner;5.0
225;echt döner lecker;5.0
226;genial düsseldorf;5.0
227;einfach lecker;5.0
228;cheese bester döner laden;5.0
229;falafel tasche awesome;4.0
230;döner beste döner stadt ziemlich dauerhaft geöffnet schmeckt fantastisch regelmäßig;5.0
231;leben lecker saftigen einfach perfekten döner bekommen komme döner düsseldorf;5.0
232;lecker toller service frisch;5.0
234;aufgrund langen warteschlange drauf aufmerksam perfekte entscheidung leckerer döner guten soßen;5.0
235;netter köstlicher fürs döner essen preise akzektabel freundliche mitarbeiter besitzer freundlich;5.0
236;bester döner;5.0
237;bester döner kenne super schnell zubereitet fast geöffnet;5.0
239;doenerteller lecker kalb trocken .... 9,50 euro;4.0
240;laden super klein voll;4.0
241;döner;5.0
242;best kebab whole düsseldorf;5.0
243;lecker.wiwdergokunfafaktor;5.0
245;fantastic kebab spot open late good value;5.0
246;really tasty döner kebab city loved only think which missinh here outside sitting place because would great have some reasonably good place infront shop;4.0
247;best doner entire life;5.0
249;leckeren döner gegessen unfassbar unscheinbarer laden geschmacklich super;5.0
250;einfach hammer geil lecker;5.0
252;komme regelmäßig hierher döner stadt essen super knuspriges brot gemischtes fleisch beste wahl tolle soßen vorallem frischer salat guten öffnungszeiten;5.0
255;doners were very delicious staff were very friendly;5.0
256;super fast good portion size delicious grill there's always line prepared standing taking away;5.0
257;bester döner;5.0
258;edible positive emotionen;4.0
259;restaurants kennenlernen gerichte lecker warm überteuert personal freundlich sonderwünsche beachtet gerne esse klare;5.0
260;leckerer döner;5.0
261;döner d'dorfer verhältnisse günstig;4.0
262;super nettes personal toller döner soße spitze gerne käsescheibe +0,50 schnelle zubereitung super lecker beste döner düsseldorf meinung positive emotionen;5.0
264;nice little place good food good sauces good service very quick very kind;5.0
265;abstand leckerste pizza deutschland halb abends mitnehmen bestellt positive emotionen einfach niederknien;5.0
266;good place dine sadly chicken pizzas available keep mind waiting time when visit;4.0
267;this must pizza frankfurt;5.0
268;pizza place frankfurt;5.0
269;leckere pizzen coole atmosphäre;5.0
270;great pizza place with good food friendly staff vibes good music;5.0
271;extrem lecker empfehlung;5.0
272;beste pizza frankfurt authentisch;5.0
273;great pizza;5.0
274;pizza good service really should arrive hours before when start getting hungry long wait;2.0
275;solide pizza overrated overpriced;4.0
276;what like pizza good wine good nice people good waiting time entrance about minutes orders made counter wait menu;5.0
277;mega leckere pizza frankfurts;5.0
278;phänomenale pizza italien;5.0
279;voll eventuell schlange stehen sobald sitzt super netter service essen;5.0
280;absolutely fantastic pizza this definitely best best pizza places frankfurt they were fully packed weeknight reservations highly recommended;5.0
